NIGHT,REVANCHIST,ARKHAN,ECHO3OFCLUBS,DOUBLE TMANIA,THOMAS VIENNEAU,OEKLAMPADIUS,DOUBLE TMANIA,CHINY,EDGE STRYFE,ECOMODE,PAMBYS
Win,Loss,Loss,Loss,Loss,Loss,Win,Loss,Win,Loss,Win,Win
,,,,,,,,,,,
10,10,10,10,10,10,10,10,10,10,10,10
LEVITICUSTARD,STRMTRPR81,ROCKNTROLL,HANZ HAS,LEVITICUSTARD,MAJOBASIL,ERIK,DO0M,KIKI,CHINY,BEARCAT2010,DO0M
Win,Loss,Win,Loss,Win,Loss,Loss,Win,Win,Win,Win,Win
SHADYBUFFALO,CHINY,OJ HEMMINGS,BEACONFIRE,STEVDAV,ROYALSABK,RYAN0770,KIKI,JEFFWEISS,KIKI,LIQUIDSNAKE,THOMAS VIENNEAU
Loss,Win,Loss,Win,Loss,Win,Win,Loss,Loss,Loss,Loss,Loss
,,,,,,,,,,,
11,11,11,11,11,11,11,11,11,11,11,11
GRINGOSTOSO,THEBASTMASTER,HIPO,STRMTRPR81,THOMAS VIENNEAU,THEBASTMASTER,KIKI,VULKAR,PAMBYS,LANZA,SEBASTIAN VAN UYTFANGE,BYRUS
Win,Loss,Win,Win,Loss,Loss,Loss,Win,Win,Loss,Win,Win
MOOPHISTO,ALGEROTH,VONTZ,KIKI,RAVEN REPLICAS,STRMTRPR81,DOUBLE TMANIA,THE86,EDGE STRYFE,DO0M,ERIK,JGH128G
Loss,Win,Loss,Loss,Win,Win,Win,Loss,Loss,Win,Loss,Loss
,,,,,,,,,,,
12,12,12,12,12,12,12,12,12,12,12,12
EARDRON,ERIK,LORDSHISHIO,VONTZ,SHADYBUFFALO,ROCKNTROLL,JEFFWEISS,ARKHAN,DARLIANE GALEGO,OEKLAMPADIUS,STRMTRPR81,BEARCAT2010
Loss,Loss,Win,Win,Win,Win,Loss,Win,Loss,Win,Win,Win
LANZA,ROYZSTON,MAKVAG,SHADYBUFFALO,ROYZSTON,MOOPHISTO,LOSRE,RYAN0770,DOUBLE TMANIA,VULKAR,JGH128G,RUNFASTJJ
Win,Win,Loss,Loss,Loss,Loss,Win,Loss,Win,Loss,Loss,Loss
,,,,,,,,,,,
13,13,13,13,13,13,13,13,13,13,13,13
CHINY,OJ HEMMINGS,LEVITICUSTARD,AARON CHAPMAN,PARKERSIMPSONARTWORK,OJ HEMMINGS,THE86,ECHO3OFCLUBS,LANZA,SEBASTIAN VAN UYTFANGE,DOUBLE TMANIA,ONELOVE
Loss,Loss,Win,Loss,Loss,Loss,Loss,Win,Win,Win,Win,Loss
MAKVAG,MAKVAG,FERAL,THEBASTMASTER,OJ HEMMINGS,GRINGOSTOSO,PAMBYS,DARLIANE GALEGO,ERIK,KECO39,JEFFWEISS,LANZA
Win,Win,Loss,Win,Win,Win,Win,Loss,Loss,Loss,Loss,Win
,,,,,,,,,,,
14,14,14,14,14,14,14,14,14,14,14,14
HANZ HAS,ARKHAN,HANZ HAS,OJ HEMMINGS,MAJOBASIL,VIKA,LIQUIDSNAKE,EDGE STRYFE,BYRUS,MATTHEW KUCKLINCA,ECHO3OFCLUBS,VULKAR
Loss,Win,Loss,Win,Loss,Win,Win,Loss,Win,Loss,Win,Win
ERIK,ROYZSTON,REVANCHIST,MOOPHISTO,LED,LIAM KIRKMAN,JGH128G,JEFFWEISS,LIQUIDSNAKE,DARLIANE GALEGO,RUNFASTJJ,DOUBLE TMANIA
Win,Loss,Win,Loss,Win,Loss,Loss,Win,Loss,Win,Loss,Loss
,,,,,,,,,,,
15,15,15,15,15,15,15,15,15,15,15,15
STRMTRPR81,MAJOBASIL,DOUBLE TMANIA,RAVEN REPLICAS,THEBASTMASTER,HANZ HAS,LEVITICUSTARD,JGH128G,MATTHEW KUCKLINCA,JGH128G,KECO39,KECO39
Loss,Win,Loss,Loss,Win,Loss,Win,Loss,Loss,Loss,Win,Loss
REVANCHIST,BYE,ROYZSTON,ARKHAN,LIAM KIRKMAN,CHINY,EDGE STRYFE,ERIK,KECO39,JEFFWEISS,THOMAS VIENNEAU,KIKI
Win,Loss,Win,Win,Loss,Win,Loss,Win,Win,Win,Loss,Win
,,,,,,,,,,,
16,16,16,16,16,16,16,16,16,16,16,16
FERAL,LIAM KIRKMAN,LIAM KIRKMAN,RYAN0770,MOOPHISTO,PAMBYS,DARLIANE GALEGO,LIQUIDSNAKE,VULKAR,LEVITICUSTARD,DARLIANE GALEGO,ECHO3OFCLUBS
Loss,Loss,Win,Loss,Win,Win,Win,Win,Win,Loss,Loss,Loss
THE86,NIGHT,RAVEN REPLICAS,LANZA,REVANCHIST,PARKERSIMPSONARTWORK,THOMAS VIENNEAU,THOMAS VIENNEAU,LEVITICUSTARD,LIQUIDSNAKE,CHINY,GAMESLAYER989
Win,Win,Loss,Win,Loss,Loss,Loss,Loss,Loss,Win,Win,Win
,,,,,,,,,,,
17,17,17,17,17,17,,N/A,17,17,17,17
DO0M,LANZA,KIKI,SEVANS,DABLAZE,NIGHT,,LEVITICUSTARD,THOMAS VIENNEAU,THOMAS VIENNEAU,ONELOVE,VIKA
Win,Win,Loss,Win,Loss,Loss,,Win,Loss,Loss,Loss,Win
RYAN0770,FERAL,DO0M,DO0M,AARON CHAPMAN,VONTZ,,BYE,JGH128G,ERIK,MATTHEW KUCKLINCA,MALACIOUSMAWLOC
Loss,Loss,Win,Loss,Win,Win,,Loss,Win,Win,Win,Loss
,,,,,,,,,,,
18,18,18,18,18,18,,,,,18,18
THEBASTMASTER,DO0M,THE86,LORDSHISHIO,NIGHT,RAVEN REPLICAS,,,,,LEVITICUSTARD,STRMTRPR81
